"totalCareless","totalCareful","ls_info","ls_rCareless","ls_rCareful","eo_simul_info","eo_simul_rCareless","eo_simul_rCareful","out_simul_info","out_simul_rCareless","out_simul_rCareful","any_flag_lsf_info","any_flag_lsf_rCareless","any_flag_lsf_rCareful","any_flag_simul_rCareless","any_flag_simul_rCareful","all_flags_info","all_flags_rCareless","all_flags_rCareful","ls_or_agree_lsf_info","ls_or_agree_lsf_rCareless","ls_or_agree_lsf_rCareful","ls_or_agree_simul_info","ls_or_agree_simul_rCareless","ls_or_agree_simul_rCareful","ls_or_out_lsf_info","ls_or_out_lsf_rCareless","ls_or_out_lsf_rCareful","ls_or_eo_simul_info","ls_or_eo_simul_rCareless","ls_or_eo_simul_rCareful","ls_or_outsq_info","ls_or_outsq_rCareless","ls_or_outsq_rCareful","ls_rCareless_prop","eo_rCareless_prop","out_rCareless_prop","any_flag_lsf_rCareless_prop","all_flags_rCareless_prop","ls_or_agree_rCareless_prop","ls_or_agree_simul_rCareless_prop","ls_or_out_lsf_rCareless_prop","ls_or_eo_simul_rCareless_prop","ls_or_outsq_rCareless_prop","ls_r_prop","eo_r_prop","out_r_prop","any_flag_lsf_r_prop","all_flags_r_prop","ls_or_agree_r_prop","ls_or_agree_simul_r_prop","ls_or_out_lsf_r_prop","ls_or_eo_simul_r_prop","ls_or_outsq_r_prop","propCareless","ls_rCareful_prop","eo_rCareful_prop","out_rCareful_prop","any_flag_lsf_rCareful_prop","all_flags_rCareful_prop","ls_or_agree_rCareful_prop","ls_or_agree_simul_rCareful_prop","ls_or_out_lsf_rCareful_prop","ls_or_eo_simul_rCareful_prop","ls_or_outsq_rCareful_prop"
53,447,0.261913806930902,39,446,-0.054324426997594,26,195,0.0964501287408721,32,313,0.100882191549533,9,121,10,122,0.0732345616478831,49,446,0.295259803300832,30,385,0.24089316618125,33,386,0.318390950149846,20,311,0.0777510447005192,19,396,0.261913806930902,31,302,0.0804123711340206,0.117647058823529,0.0927536231884058,0.0692307692307692,0.098989898989899,0.072289156626506,0.0787589498806683,0.0604229607250755,0.0457831325301205,0.0930930930930931,0.97,0.442,0.69,0.26,0.99,0.83,0.838,0.662,0.83,0.666,0.106,0.997762863534676,0.436241610738255,0.700223713646532,0.270693512304251,0.997762863534676,0.861297539149888,0.863534675615213,0.695749440715884,0.885906040268456,0.675615212527964
56,444,0.205276705276705,44,440,0.08011583011583,22,210,0.178249678249678,30,317,0.165862290862291,9,145,9,142,0.0535714285714286,53,444,0.286679536679537,32,381,0.248712998712999,34,380,0.381435006435006,19,320,0.0778635778635779,22,391,0.205276705276705,28,312,0.0909090909090909,0.0948275862068965,0.0864553314121038,0.0584415584415584,0.106639839034205,0.0774818401937046,0.0821256038647343,0.056047197640118,0.0532687651331719,0.0823529411764706,0.968,0.464,0.694,0.308,0.994,0.826,0.828,0.678,0.826,0.68,0.112,0.990990990990991,0.472972972972973,0.713963963963964,0.326576576576577,1,0.858108108108108,0.855855855855856,0.720720720720721,0.880630630630631,0.702702702702703
25,475,0.218947368421053,19,465,-0.0694736842105264,13,214,0.288421052631579,11,346,0.181052631578947,3,143,5,147,0.0757894736842106,23,473,0.288421052631579,14,403,0.290526315789474,14,404,0.469473684210526,6,337,0.00421052631578966,11,406,0.218947368421053,8,322,0.0392561983471074,0.0572687224669604,0.030812324929972,0.0205479452054795,0.0463709677419355,0.0335731414868106,0.0334928229665072,0.0174927113702624,0.026378896882494,0.0242424242424242,0.968,0.454,0.714,0.292,0.992,0.834,0.836,0.686,0.834,0.66,0.05,0.978947368421053,0.450526315789474,0.728421052631579,0.301052631578947,0.995789473684211,0.848421052631579,0.850526315789474,0.709473684210526,0.854736842105263,0.677894736842105
45,455,0.166788766788767,37,450,-0.0380952380952382,21,195,0.231990231990232,22,328,0.192673992673993,3,118,3,120,0.0222222222222221,44,455,0.159218559218559,32,396,0.159218559218559,32,396,0.34993894993895,16,321,0.00195360195360195,19,409,0.166788766788767,23,305,0.0759753593429158,0.0972222222222222,0.0628571428571429,0.0247933884297521,0.0881763527054108,0.0747663551401869,0.0747663551401869,0.0474777448071217,0.044392523364486,0.0701219512195122,0.974,0.432,0.7,0.242,0.998,0.856,0.856,0.674,0.856,0.656,0.09,0.989010989010989,0.428571428571429,0.720879120879121,0.259340659340659,1,0.87032967032967,0.87032967032967,0.705494505494506,0.898901098901099,0.67032967032967
35,465,0.101382488479263,31,459,-0.0556067588325653,17,200,0.388325652841782,12,340,0.128110599078341,5,126,5,128,0.0221198156682028,34,462,0.30384024577573,20,407,0.30384024577573,20,407,0.436866359447005,10,336,-0.0027649769585254,15,412,0.101382488479263,13,320,0.063265306122449,0.0783410138248848,0.0340909090909091,0.0381679389312977,0.0685483870967742,0.0468384074941452,0.0468384074941452,0.0289017341040462,0.0351288056206089,0.039039039039039,0.98,0.434,0.704,0.262,0.992,0.854,0.854,0.692,0.854,0.666,0.07,0.987096774193548,0.43010752688172,0.731182795698925,0.270967741935484,0.993548387096774,0.875268817204301,0.875268817204301,0.72258064516129,0.886021505376344,0.688172043010753
53,447,0.217466548478325,41,443,-0.0498501540669453,26,197,0.108606643873201,31,310,0.091933645688236,9,117,12,119,0.0709974251825589,49,445,0.257523954244228,32,385,0.259761090709552,32,386,0.273943691697269,22,308,0.0822253176311678,19,398,0.217466548478325,27,292,0.0847107438016529,0.116591928251121,0.0909090909090909,0.0714285714285714,0.0991902834008097,0.0767386091127098,0.076555023923445,0.0666666666666667,0.0455635491606715,0.0846394984326019,0.968,0.446,0.682,0.252,0.988,0.834,0.836,0.66,0.834,0.638,0.106,0.991051454138702,0.440715883668904,0.693512304250559,0.261744966442953,0.995525727069351,0.861297539149888,0.863534675615213,0.68903803131991,0.890380313199105,0.65324384787472
21,479,0.329157967988866,14,477,-0.20946416144746,14,219,0.337210458296053,8,344,0.19703747887464,2,140,2,142,0.0931504125658615,19,478,0.305398150909633,12,420,0.257779103290586,13,420,0.616661695993638,2,341,-0.114226066209365,12,420,0.329157967988866,7,326,0.0285132382892057,0.0600858369098712,0.0227272727272727,0.0140845070422535,0.0382293762575453,0.0277777777777778,0.0300230946882217,0.00583090379008746,0.0277777777777778,0.021021021021021,0.982,0.466,0.704,0.284,0.994,0.864,0.866,0.686,0.864,0.666,0.042,0.995824634655532,0.457202505219207,0.718162839248434,0.292275574112735,0.997912317327766,0.876826722338205,0.876826722338205,0.711899791231733,0.876826722338205,0.680584551148225
37,463,0.430272605218609,21,462,-0.0772284163212889,19,202,0.153814721849279,21,334,0.157550639192108,4,123,6,121,0.027027027027027,36,463,0.47148444340669,15,406,0.434709007063219,17,414,0.579767672640243,5,331,0.0579067188138462,14,407,0.430272605218609,12,326,0.0434782608695652,0.085972850678733,0.0591549295774648,0.031496062992126,0.0721442885771543,0.0356294536817102,0.0394431554524362,0.0148809523809524,0.0332541567695962,0.0355029585798817,0.966,0.442,0.71,0.254,0.998,0.842,0.862,0.672,0.842,0.676,0.074,0.997840172786177,0.436285097192225,0.721382289416847,0.265658747300216,1,0.876889848812095,0.894168466522678,0.714902807775378,0.879049676025918,0.704103671706264
36,464,0.1772030651341,29,456,-0.158764367816092,21,197,0.219827586206897,18,334,0.00862068965517238,9,120,11,126,0.108955938697318,32,463,0.182471264367816,24,394,0.161159003831418,25,397,0.31154214559387,14,325,-0.1352969348659,20,398,0.1772030651341,23,314,0.0597938144329897,0.0963302752293578,0.0511363636363636,0.0697674418604651,0.0646464646464646,0.0574162679425837,0.0592417061611374,0.0412979351032448,0.0478468899521531,0.0682492581602374,0.97,0.436,0.704,0.258,0.99,0.836,0.844,0.678,0.836,0.674,0.072,0.982758620689655,0.424568965517241,0.719827586206897,0.258620689655172,0.997844827586207,0.849137931034483,0.855603448275862,0.700431034482759,0.857758620689655,0.676724137931034
57,443,0.173181260148113,47,442,-0.087877707813552,31,202,0.08122450596016,35,308,-0.0125935606510634,15,111,18,115,0.0679181022533761,53,442,0.205179992871569,39,394,0.189893469565562,40,395,0.23686190645915,26,307,-0.0527899885153064,29,404,0.173181260148113,35,301,0.0961145194274029,0.133047210300429,0.102040816326531,0.119047619047619,0.107070707070707,0.0900692840646651,0.0919540229885057,0.0780780780780781,0.0669745958429561,0.104166666666667,0.978,0.466,0.686,0.252,0.99,0.866,0.87,0.666,0.866,0.672,0.114,0.997742663656885,0.455981941309255,0.695259593679458,0.250564334085779,0.997742663656885,0.889390519187359,0.891647855530474,0.693002257336343,0.91196388261851,0.679458239277652
