"1" "2" "3" "4" "5" "6" "7"
"XLive10" 701 1259 1383 1480 2460 1833 1100
"AForg1" 2189 2270 1631 1924 1247 597 358
"AForg2" 322 699 1021 1027 2343 2952 1852
"AForg3" 281 652 1095 1147 2462 3023 1556
"AForg4" 592 1126 1506 1357 2558 2006 1071
"AForg5" 1030 2047 2023 1266 1931 1276 643
"AForg6" 896 1589 1443 1091 2263 1696 1238
"AForg7" 960 1962 1830 1360 1967 1214 923
"AForg8" 1065 2127 1833 1659 1896 1068 568
"AForg9" 448 1187 1436 1507 2653 1854 1131
"AForg10" 453 1420 1751 1407 2235 1759 1191
"AGent1" 902 2080 2638 1521 1423 1117 535
"AGent2" 98 362 939 1501 3431 2826 1059
"AGent3" 86 201 550 843 2184 3606 2746
"AGent4" 392 796 1317 1507 2536 2322 1346
"AGent5" 655 1690 1833 1292 2725 1397 624
"AGent6" 738 1535 1523 1577 2644 1542 657
"AGent7" 737 1731 1841 1499 2414 1246 748
"AGent8" 1133 2494 2097 1411 2007 779 295
"AGent9" 494 1168 1321 1456 2437 1986 1354
"AGent10" 999 1889 1972 1676 2259 1015 406
"AFlex1" 312 835 1456 1415 2667 2361 1170
"AFlex2" 302 890 1933 1885 2988 1727 491
"AFlex3" 465 1238 1129 1263 2481 2157 1483
"AFlex4" 342 1007 1345 1555 2472 2199 1296
"AFlex5" 185 571 898 868 2918 2949 1827
"AFlex6" 264 1166 2128 1978 2527 1509 644
"AFlex7" 264 995 1583 1341 3407 1864 762
"AFlex8" 313 1023 1519 1625 2668 1886 1182
"AFlex9" 759 2069 2086 1339 2121 1307 535
"AFlex10" 894 2230 2050 1509 1914 1068 551
"APati1" 757 1339 1674 961 1670 2204 1611
"APati2" 887 1820 2312 1077 1675 1607 838
"APati3" 411 893 1209 1052 2097 2813 1741
"APati4" 1712 2701 2245 932 1127 969 530
"APati5" 904 1680 1995 1193 1584 1718 1142
"APati6" 569 1368 1531 1209 2866 1661 1012
"APati7" 1428 2134 1762 1056 1860 1161 815
"APati8" 675 1451 1499 1108 2662 1699 1122
"APati9" 1394 2187 1468 963 2084 1313 807
"APati10" 754 1554 1585 1131 2475 1731 986
"COrga1" 1063 2090 2348 1451 1845 1001 418
"COrga2" 1679 2953 2480 1047 1208 600 249
"COrga3" 210 525 924 1998 2988 2398 1173
"COrga4" 928 1617 1829 1630 2357 1277 578
"COrga5" 102 368 797 1275 2642 2934 2098
"COrga6" 436 735 781 631 1996 2838 2799
"COrga7" 534 1071 1098 966 2488 2665 1394
"COrga8" 502 1172 1280 1230 2983 2056 993
"COrga9" 556 1248 1289 843 2169 2606 1505
"COrga10" 480 1213 1935 1223 2162 2190 1013
"CDili1" 354 1039 1666 1553 2337 1947 1320
"CDili2" 836 1827 2117 1282 1934 1545 675
"CDili3" 186 680 1426 2599 2773 1796 756
"CDili4" 315 818 1328 1502 2461 2434 1358
"CDili5" 141 637 1431 1700 2996 2487 824
"CDili6" 635 1386 1553 1172 2441 2042 987
"CDili7" 900 1754 1689 1244 2423 1550 656
"CDili8" 815 1614 1456 1340 2384 1744 863
"CDili9" 411 812 884 940 2605 2691 1873
"CDili10" 388 1446 1949 1522 2713 1533 665
"CPerf1" 106 349 796 1023 2983 3090 1869
"CPerf2" 334 1038 1828 1676 2633 1820 887
"CPerf3" 122 432 895 1265 2751 2922 1829
"CPerf4" 187 671 1287 1691 2731 2267 1382
"CPerf5" 282 928 1518 1405 2790 2106 1187
"CPerf6" 147 512 1025 1754 2761 2528 1489
"CPerf7" 75 259 658 1023 3388 3338 1475
"CPerf8" 173 574 874 1604 2853 2772 1366
"CPerf9" 1670 2884 2259 1144 1275 686 298
"CPerf10" 369 1037 1497 1449 2601 2225 1038
"CPrud1" 155 513 1146 1303 3470 2584 1045
"CPrud2" 423 1304 2243 1663 2505 1530 548
"CPrud3" 338 845 1801 1752 2949 1850 681
"CPrud4" 858 1872 1898 1082 2486 1436 584
"CPrud5" 1550 2219 1659 1063 1999 1214 512
"CPrud6" 796 1799 1869 1500 2494 1213 545
"CPrud7" 519 1201 1391 1155 2855 2156 939
"CPrud8" 285 947 1044 1182 2986 2648 1124
"CPrud9" 428 815 699 577 2478 2950 2269
"CPrud10" 469 1035 947 1369 2752 2175 1469
"OAesA1" 115 178 276 581 1432 2815 4819
"OAesA2" 79 234 407 531 1665 2693 4607
"OAesA3" 62 146 361 733 2030 3439 3445
"OAesA4" 259 617 871 2336 2217 2248 1668
"OAesA5" 798 1314 1201 1223 2594 1819 1267
"OAesA6" 6721 2021 699 345 217 125 88
"OAesA7" 1972 2737 2000 923 1111 911 562
"OAesA8" 2674 2498 1839 1208 909 629 459
"OAesA9" 2622 2487 1480 1426 847 754 600
"OAesA10" 1768 2291 1867 1371 1114 1039 766
"OInqu1" 243 440 566 751 2032 2967 3217
"OInqu2" 104 248 344 558 1737 2942 4283
"OInqu3" 108 243 444 844 2245 3314 3018
"OInqu4" 243 458 769 1140 2243 2950 2413
"OInqu5" 1672 1314 983 987 1977 1994 1289
"OInqu6" 177 394 634 1145 2428 3054 2384
"OInqu7" 1631 2525 2176 1029 1324 980 551
"OInqu8" 2890 3099 1941 800 815 424 247
"OInqu9" 1494 2342 1933 952 1346 1272 877
"OInqu10" 2521 3143 2040 1079 798 491 144
"OCrea1" 71 139 311 486 1491 2859 4859
"OCrea2" 104 392 804 1385 3083 2881 1567
"OCrea3" 247 765 1240 2063 2558 2284 1059
"OCrea4" 52 233 535 974 2272 3054 3096
"OCrea5" 83 357 814 1532 2759 2706 1965
"OCrea6" 76 281 589 1734 2899 2793 1844
"OCrea7" 4994 2782 1276 425 417 186 136
"OCrea8" 4595 3195 1372 385 430 167 72
"OCrea9" 835 2069 2180 1050 1829 1591 662
"OCrea10" 1670 2746 2027 1547 1067 801 358
"OUnco1" 297 589 690 1338 2502 2848 1952
"OUnco2" 81 327 648 1234 2660 3198 2068
"OUnco3" 54 181 315 613 2467 3825 2761
"OUnco4" 818 1749 1727 1747 2231 1172 772
"OUnco5" 255 766 1206 2060 2576 1998 1355
"OUnco6" 3018 3080 1777 876 699 471 295
"OUnco7" 2250 2544 2221 1750 747 486 218
"OUnco8" 1190 1828 1888 2344 1553 988 425
"OUnco9" 1638 1966 2113 1881 1347 856 415
"OUnco10" 2321 3241 2147 1244 649 420 194
