"a1" "d1" "d2" "d3" "d4" "d5" "d6"
"OInqu4" 3.156 7.103 5.317 3.816 2.372 0.259 -2.541
"OInqu5" 0.862 1.873 1.053 0.568 0.116 -0.818 -2.171
"OInqu6" 1.323 4.812 3.491 2.548 1.567 0.174 -1.558
"OInqu7" -0.82 1.859 0.409 -0.575 -1.087 -1.949 -3.144
"OInqu8" -2.864 1.883 -0.747 -2.558 -3.545 -5.043 -6.623
"OInqu9" -0.724 1.921 0.531 -0.327 -0.759 -1.481 -2.575
"OInqu10" -0.83 1.251 -0.292 -1.312 -2.064 -3.006 -4.564
"OUnco1" -1.063 3.977 2.758 2.042 1.147 -0.105 -1.729
"OUnco2" -0.782 5.099 3.428 2.375 1.397 0.089 -1.53
"OUnco3" -1.145 5.81 4.27 3.333 2.439 0.737 -1.239
"OUnco4" -0.806 2.691 1.247 0.394 -0.383 -1.594 -2.755
"OUnco5" -1.1 4.173 2.606 1.565 0.432 -0.852 -2.27
"OUnco6" 1.531 1.192 -0.6 -1.7 -2.426 -3.305 -4.446
"OUnco7" 2.283 2.167 0.121 -1.442 -3.033 -4.192 -5.762
"OUnco8" 1.181 2.459 0.994 -0.012 -1.209 -2.291 -3.706
"OUnco9" 2.352 2.89 0.957 -0.594 -2.003 -3.381 -5.034
"OUnco10" 0.707 1.335 -0.225 -1.256 -2.14 -2.956 -4.166
